a	(3.2984103720405864, 9.451856272111163)
b	(4.484982088729677, 5.027172754784536)
c	(6.297198189423022, 3.719577170623588)
d	(4.981442307692308, 3.3246664677549975)
e	(5.50173998857321, 2.051596266143813)
f	(4.93599729089062, 4.090725033033546)
g	(5.2176006603687055, 2.323643493457227)
h	(4.0128524812215245, 6.922978560163676)
i	(2.20296884412796, 6.898576360768936)
j	(5.2003434459072695, 0.372320020459486)
k	(4.689510625852993, 1.0930906610971398)
l	(4.7309130076664765, 3.363667362857508)
m	(4.019652084050982, 6.18686330505946)
n	(3.814615412224974, 2.9688632198116025)
o	(2.877669991346723, 4.679468053365159)
p	(6.284068618709655, 2.9878308682494352)
q	(5.910168195718654, 0.2787604961425344)
r	(6.073921698739217, 1.6058565278547376)
s	(4.989131216124905, 7.41198158646264)
t	(3.8422672615896545, 14.09040535356549)
u	(4.64073952521606, 0.9740633391586037)
v	(5.596527674729188, 0.7181066450705426)
w	(4.433325808636202, 6.608627083244533)
x	(3.174757281553398, 0.01097566173649887)
y	(3.543181989308034, 2.830442010144495)
z	(5.04054054054054, 0.007885426878649673)
