a	(3.2984103720405864, 9.451856272111163)
b	(4.484982088729677, 5.027172754784536)
c	(6.297198189423022, 3.719577170623588)
d	(4.981442307692308, 3.3246664677549975)
e	(5.50173998857321, 2.051596266143813)
f	(4.93599729089062, 4.090725033033546)
g	(5.2176006603687055, 2.323643493457227)
h	(4.0128524812215245, 6.922978560163676)
i	(2.20296884412796, 6.898576360768936)
j	(5.2003434459072695, 0.372320020459486)
k	(4.689510625852993, 1.0930906610971398)
l	(4.7309130076664765, 3.363667362857508)
m	(4.019652084050982, 6.18686330505946)
