n	(3.814615412224974, 2.9688632198116025)
o	(2.877669991346723, 4.679468053365159)
p	(6.284068618709655, 2.9878308682494352)
q	(5.910168195718654, 0.2787604961425344)
r	(6.073921698739217, 1.6058565278547376)
s	(4.989131216124905, 7.41198158646264)
t	(3.8422672615896545, 14.09040535356549)
u	(4.64073952521606, 0.9740633391586037)
v	(5.596527674729188, 0.7181066450705426)
w	(4.433325808636202, 6.608627083244533)
x	(3.174757281553398, 0.01097566173649887)
y	(3.543181989308034, 2.830442010144495)
z	(5.04054054054054, 0.007885426878649673)
